,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
171,43.397314,40.002072,Адлер,ЮФО,АПП,103181,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,2.83
172,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1131,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095,1.03
173,43.397314,40.002072,Адлер,ЮФО,АПП,82102,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,2.25
174,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1118,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095,1.02
175,42.768431,44.631185,Верхний Ларс,СКФО,АПП,13817,2022,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950,1.26
176,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,4977882,2017,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000,1.22
177,51.647524,34.137715,Крупец,ЦФО,АПП,607357,2017,Грузы в тоннах,Брянский,установлен,да,Украина,365000,1.66
178,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5075087,2018,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000,1.24
179,51.647524,34.137715,Крупец,ЦФО,АПП,450216,2018,Грузы в тоннах,Брянский,установлен,да,Украина,365000,1.23
180,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6197916,2019,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000,1.52
181,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6365192,2020,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000,1.56
182,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5705163,2021,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000,1.4
183,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,677365,2022,Грузы в тоннах,Северо-Кавказский,установлен,да,Азербайджанская Республика,182500,3.71
